estimator,timescale,J,time,F.a0,F.a1,RR,RD,SR
glm_gcomp,3mo,F3,1440,0.09965405753958706,0.10716614298047426,1.0753816314795117,0.007512085440887203,0.9916564454987618
glm_gcomp,6mo,F1,360,0.06857936927421661,0.04996892382237466,0.7286290957645362,-0.01861044545184195,1.0199807099369704
glm_gcomp,6mo,F1,720,0.12613873790374808,0.09362474635187618,0.7422362702195249,-0.0325139915518719,1.0372072695771821
glm_gcomp,6mo,F1,1080,0.17401540589793002,0.13151520013683982,0.7557675681541725,-0.042500205761090204,1.0514539932882068
glm_gcomp,6mo,F1,1440,0.21343866926277938,0.1641587506121371,0.7691143839077712,-0.04927991865064227,1.062652353637133
glm_gcomp,6mo,F2,360,0.058701873738299694,0.04246370896636584,0.7233791063582463,-0.016238164771933856,1.0172508202437656
glm_gcomp,6mo,F2,720,0.11455108211054252,0.08469399606314323,0.7393557049196008,-0.029857086047399284,1.033719716004133
glm_gcomp,6mo,F2,1080,0.16710586374645744,0.12635793864076406,0.7561550253705133,-0.04074792510569339,1.0489232944885198
glm_gcomp,6mo,F2,1440,0.21595831723824147,0.16709411949118677,0.7737331982766444,-0.048864197747054694,1.0623234693019539
glm_gcomp,6mo,F3,360,0.03157736714215333,0.03250921043133284,1.0295098475114972,9.318432891795084e-4,0.9990377720867287
glm_gcomp,6mo,F3,720,0.05797060691716985,0.060824629504149234,1.0492322357614317,0.0028540225869793864,0.9969703465646231
glm_gcomp,6mo,F3,1080,0.07982186345904226,0.08531608429073054,1.0688310269091557,0.005494220831688282,0.9940291769457362
glm_gcomp,6mo,F3,1440,0.09772145126294378,0.106334393056585,1.0881376778826786,0.008612941793641221,0.9904542318935798
survtmle,1mo,F1,360,0.06695079984988496,0.05508643726832754,0.8227898306195097,-0.011864362581557417,1.012715688068377
survtmle,1mo,F1,720,0.12721125538247066,0.08185682042228143,0.6434715244038152,-0.04535443496018923,1.0519649631596297
